date,sales,sales_diff,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,,RMSE,MAE,R2
01-02-2014,529117,3130,19380,-186036,36056,-33320,-76854,-89161,60325,32355,80968,64892,157965,4513,,16221,12433,0.990715588
01-03-2014,704301,175184,3130,19380,-186036,36056,-33320,-76854,-89161,60325,32355,80968,64892,157965,,,,
01-04-2014,788914,84613,175184,3130,19380,-186036,36056,-33320,-76854,-89161,60325,32355,80968,64892,,,,
01-05-2014,882877,93963,84613,175184,3130,19380,-186036,36056,-33320,-76854,-89161,60325,32355,80968,,,,
01-06-2014,906842,23965,93963,84613,175184,3130,19380,-186036,36056,-33320,-76854,-89161,60325,32355,,,,
01-07-2014,989010,82168,23965,93963,84613,175184,3130,19380,-186036,36056,-33320,-76854,-89161,60325,,,,
01-08-2014,885596,-103414,82168,23965,93963,84613,175184,3130,19380,-186036,36056,-33320,-76854,-89161,,,,
01-09-2014,785124,-100472,-103414,82168,23965,93963,84613,175184,3130,19380,-186036,36056,-33320,-76854,,,,
01-10-2014,758883,-26241,-100472,-103414,82168,23965,93963,84613,175184,3130,19380,-186036,36056,-33320,,,,
01-11-2014,800783,41900,-26241,-100472,-103414,82168,23965,93963,84613,175184,3130,19380,-186036,36056,,,,
01-12-2014,578048,-222735,41900,-26241,-100472,-103414,82168,23965,93963,84613,175184,3130,19380,-186036,,,,
01-01-2015,552513,-25535,-222735,41900,-26241,-100472,-103414,82168,23965,93963,84613,175184,3130,19380,,,,
01-02-2015,551317,-1196,-25535,-222735,41900,-26241,-100472,-103414,82168,23965,93963,84613,175184,3130,,,,
01-03-2015,730951,179634,-1196,-25535,-222735,41900,-26241,-100472,-103414,82168,23965,93963,84613,175184,,,,
01-04-2015,824467,93516,179634,-1196,-25535,-222735,41900,-26241,-100472,-103414,82168,23965,93963,84613,,,,
01-05-2015,926902,102435,93516,179634,-1196,-25535,-222735,41900,-26241,-100472,-103414,82168,23965,93963,,,,
01-06-2015,937184,10282,102435,93516,179634,-1196,-25535,-222735,41900,-26241,-100472,-103414,82168,23965,,,,
01-07-2015,1037350,100166,10282,102435,93516,179634,-1196,-25535,-222735,41900,-26241,-100472,-103414,82168,,,,
01-08-2015,920401,-116949,100166,10282,102435,93516,179634,-1196,-25535,-222735,41900,-26241,-100472,-103414,,,,
01-09-2015,823332,-97069,-116949,100166,10282,102435,93516,179634,-1196,-25535,-222735,41900,-26241,-100472,,,,
01-10-2015,797253,-26079,-97069,-116949,100166,10282,102435,93516,179634,-1196,-25535,-222735,41900,-26241,,,,
01-11-2015,827645,30392,-26079,-97069,-116949,100166,10282,102435,93516,179634,-1196,-25535,-222735,41900,,,,
01-12-2015,607572,-220073,30392,-26079,-97069,-116949,100166,10282,102435,93516,179634,-1196,-25535,-222735,,,,
01-01-2016,602439,-5133,-220073,30392,-26079,-97069,-116949,100166,10282,102435,93516,179634,-1196,-25535,,,,
01-02-2016,614957,12518,-5133,-220073,30392,-26079,-97069,-116949,100166,10282,102435,93516,179634,-1196,,,,
01-03-2016,790881,175924,12518,-5133,-220073,30392,-26079,-97069,-116949,100166,10282,102435,93516,179634,,,,
01-04-2016,901950,111069,175924,12518,-5133,-220073,30392,-26079,-97069,-116949,100166,10282,102435,93516,,,,
01-05-2016,988730,86780,111069,175924,12518,-5133,-220073,30392,-26079,-97069,-116949,100166,10282,102435,,,,
01-06-2016,1022664,33934,86780,111069,175924,12518,-5133,-220073,30392,-26079,-97069,-116949,100166,10282,,,,
01-07-2016,1138718,116054,33934,86780,111069,175924,12518,-5133,-220073,30392,-26079,-97069,-116949,100166,,,,
01-08-2016,981494,-157224,116054,33934,86780,111069,175924,12518,-5133,-220073,30392,-26079,-97069,-116949,,,,
01-09-2016,896831,-84663,-157224,116054,33934,86780,111069,175924,12518,-5133,-220073,30392,-26079,-97069,,,,
01-10-2016,863637,-33194,-84663,-157224,116054,33934,86780,111069,175924,12518,-5133,-220073,30392,-26079,,,,
01-11-2016,891448,27811,-33194,-84663,-157224,116054,33934,86780,111069,175924,12518,-5133,-220073,30392,,,,
